
From,January 1, 2021 EST
To,January 31, 2021 EST
Guelph, (28028) Hourly, Nitrogen Dioxide (NO2) Concentrations
Station,Guelph (28028)
Address,Exhibition St./clark St. W.
Latitude,43.551611
Longitude,-80.264167
Elevation, 330 metres
Air Intake Height,4 metres
Pollutant,Nitrogen Dioxide (Nitrogen Dioxide  NO2)
Unit, parts per billion (ppb)
Remarks, -999 for missing data. 9999 for invalid data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
28028,Nitrogen Dioxide,2021-01-26,22.8,16.7,14.1,10.7,9.9,8.1,8.6,9.8,9.5,10.2,9.6,7.3,7.7,6.9,6.5,5.4,5,4.1,3.6,3.4,3.2,3.8,3.4,3.3,
28028,Nitrogen Dioxide,2021-01-27,5,2.6,2.6,3,2.8,3.1,3.4,3.1,5.6,3.4,2.5,9999,9999,9999,9999,2.6,3.3,4.2,4.8,3.8,3.7,3.4,4.5,5.5,
28028,Nitrogen Dioxide,2021-01-28,3.9,3.6,4.1,6.4,6.8,7.9,4.5,3.3,3.5,2.7,1.9,1.9,1.8,1.8,1.8,1.9,2.3,6.6,5.4,3.6,3.8,3.4,3.4,3.7,
28028,Nitrogen Dioxide,2021-01-29,3.5,3,4,10.1,8.5,10.7,11.9,10.1,9.9,3.2,2.3,2.2,2.3,2.1,1.9,1.8,2.2,3.3,3.6,4.2,3.7,3.6,4.1,6.6,
28028,Nitrogen Dioxide,2021-01-30,17,22.1,19.6,21.4,17.3,18.4,31.6,30.5,29.9,21.1,16.9,7,2.3,2,2,1.9,2.2,8.8,19.5,37.4,22.6,10,7.1,7,
28028,Nitrogen Dioxide,2021-01-31,7.6,8,8.2,8.4,10.4,10.8,11.7,12.7,11.5,10.3,9.7,7.8,6.8,6.4,4.7,4.9,5.4,6.2,9.9,7.6,6.9,7.1,7,6.3,





Air Quality Ontario. Maintained by the Government of Ontario
Copyright Queen's Printer for Ontario2023
See Disclaimer at: http://www.airqualityontario.com/science/disclaimer.php 
